Training: 2023-12-28 00:21:17,101-rank_id: 0
Training: 2023-12-28 00:48:23,403-Speed 797.76 samples/sec   Loss 25.3892   LearningRate 0.020000   Epoch: 0   Global Step: 9990   Fp16 Grad Scale: 524288   Required: 9 hours
Training: 2023-12-28 00:48:25,003-Speed 800.59 samples/sec   Loss 25.7612   LearningRate 0.020000   Epoch: 0   Global Step: 10000   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:48:26,608-Speed 797.65 samples/sec   Loss 26.2847   LearningRate 0.020000   Epoch: 0   Global Step: 10010   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:48:28,212-Speed 798.46 samples/sec   Loss 25.7596   LearningRate 0.020000   Epoch: 0   Global Step: 10020   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:48:29,817-Speed 798.02 samples/sec   Loss 26.0093   LearningRate 0.020000   Epoch: 0   Global Step: 10030   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:48:31,464-Speed 777.12 samples/sec   Loss 25.4440   LearningRate 0.020000   Epoch: 0   Global Step: 10040   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:48:33,068-Speed 798.42 samples/sec   Loss 25.6191   LearningRate 0.020000   Epoch: 0   Global Step: 10050   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:48:34,672-Speed 798.38 samples/sec   Loss 25.5956   LearningRate 0.020000   Epoch: 0   Global Step: 10060   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:48:36,276-Speed 798.22 samples/sec   Loss 25.7182   LearningRate 0.020000   Epoch: 0   Global Step: 10070   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:48:37,881-Speed 797.96 samples/sec   Loss 25.8180   LearningRate 0.020000   Epoch: 0   Global Step: 10080   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:48:39,486-Speed 797.69 samples/sec   Loss 25.5190   LearningRate 0.020000   Epoch: 0   Global Step: 10090   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:48:41,090-Speed 798.10 samples/sec   Loss 25.7332   LearningRate 0.020000   Epoch: 0   Global Step: 10100   Fp16 Grad Scale: 524288   Required: 9 hours
Training: 2023-12-28 00:48:42,695-Speed 797.27 samples/sec   Loss 25.5250   LearningRate 0.020000   Epoch: 0   Global Step: 10110   Fp16 Grad Scale: 524288   Required: 9 hours
Training: 2023-12-28 00:48:44,292-Speed 801.74 samples/sec   Loss 25.5558   LearningRate 0.020000   Epoch: 0   Global Step: 10120   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:48:45,896-Speed 797.71 samples/sec   Loss 25.5953   LearningRate 0.020000   Epoch: 0   Global Step: 10130   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:48:47,501-Speed 797.86 samples/sec   Loss 26.4304   LearningRate 0.020000   Epoch: 0   Global Step: 10140   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:48:49,105-Speed 797.74 samples/sec   Loss 25.2057   LearningRate 0.020000   Epoch: 0   Global Step: 10150   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:48:50,710-Speed 797.47 samples/sec   Loss 25.7192   LearningRate 0.020000   Epoch: 0   Global Step: 10160   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:48:52,315-Speed 798.33 samples/sec   Loss 25.8281   LearningRate 0.020000   Epoch: 0   Global Step: 10170   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:48:53,918-Speed 798.96 samples/sec   Loss 25.6447   LearningRate 0.020000   Epoch: 0   Global Step: 10180   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:48:55,522-Speed 798.17 samples/sec   Loss 25.7274   LearningRate 0.020000   Epoch: 0   Global Step: 10190   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:48:57,127-Speed 798.35 samples/sec   Loss 25.3925   LearningRate 0.020000   Epoch: 0   Global Step: 10200   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:48:58,731-Speed 798.47 samples/sec   Loss 25.9379   LearningRate 0.020000   Epoch: 0   Global Step: 10210   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:00,329-Speed 801.02 samples/sec   Loss 26.0997   LearningRate 0.020000   Epoch: 0   Global Step: 10220   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:01,931-Speed 798.61 samples/sec   Loss 25.6474   LearningRate 0.020000   Epoch: 0   Global Step: 10230   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:03,535-Speed 798.18 samples/sec   Loss 25.1513   LearningRate 0.020000   Epoch: 0   Global Step: 10240   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:05,139-Speed 798.77 samples/sec   Loss 26.0072   LearningRate 0.020000   Epoch: 0   Global Step: 10250   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:06,743-Speed 798.66 samples/sec   Loss 25.4384   LearningRate 0.020000   Epoch: 0   Global Step: 10260   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:08,347-Speed 798.68 samples/sec   Loss 24.6324   LearningRate 0.020000   Epoch: 0   Global Step: 10270   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:09,952-Speed 798.12 samples/sec   Loss 25.3313   LearningRate 0.020000   Epoch: 0   Global Step: 10280   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:11,557-Speed 798.00 samples/sec   Loss 24.8899   LearningRate 0.020000   Epoch: 0   Global Step: 10290   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:13,160-Speed 798.40 samples/sec   Loss 25.1904   LearningRate 0.020000   Epoch: 0   Global Step: 10300   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:14,765-Speed 797.86 samples/sec   Loss 25.1905   LearningRate 0.020000   Epoch: 0   Global Step: 10310   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:16,370-Speed 797.37 samples/sec   Loss 25.3099   LearningRate 0.020000   Epoch: 0   Global Step: 10320   Fp16 Grad Scale: 524288   Required: 9 hours
Training: 2023-12-28 00:49:17,968-Speed 801.13 samples/sec   Loss 25.1302   LearningRate 0.020000   Epoch: 0   Global Step: 10330   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:19,566-Speed 801.32 samples/sec   Loss 25.1109   LearningRate 0.020000   Epoch: 0   Global Step: 10340   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:49:21,170-Speed 797.56 samples/sec   Loss 24.8714   LearningRate 0.020000   Epoch: 0   Global Step: 10350   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:49:22,778-Speed 796.33 samples/sec   Loss 25.5672   LearningRate 0.020000   Epoch: 0   Global Step: 10360   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:49:24,380-Speed 798.74 samples/sec   Loss 25.1954   LearningRate 0.020000   Epoch: 0   Global Step: 10370   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:49:25,984-Speed 797.98 samples/sec   Loss 25.2584   LearningRate 0.020000   Epoch: 0   Global Step: 10380   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:49:27,588-Speed 798.12 samples/sec   Loss 25.2445   LearningRate 0.020000   Epoch: 0   Global Step: 10390   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:49:29,193-Speed 797.80 samples/sec   Loss 25.2348   LearningRate 0.020000   Epoch: 0   Global Step: 10400   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:49:30,797-Speed 797.71 samples/sec   Loss 24.8883   LearningRate 0.020000   Epoch: 0   Global Step: 10410   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:49:32,401-Speed 798.19 samples/sec   Loss 24.5586   LearningRate 0.020000   Epoch: 0   Global Step: 10420   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:49:34,007-Speed 797.65 samples/sec   Loss 25.0051   LearningRate 0.020000   Epoch: 0   Global Step: 10430   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:49:35,612-Speed 797.70 samples/sec   Loss 25.2960   LearningRate 0.020000   Epoch: 0   Global Step: 10440   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:37,218-Speed 797.08 samples/sec   Loss 24.7011   LearningRate 0.020000   Epoch: 0   Global Step: 10450   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:38,823-Speed 797.73 samples/sec   Loss 25.7513   LearningRate 0.020000   Epoch: 0   Global Step: 10460   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:40,427-Speed 798.15 samples/sec   Loss 25.4084   LearningRate 0.020000   Epoch: 0   Global Step: 10470   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:42,031-Speed 798.19 samples/sec   Loss 24.6657   LearningRate 0.020000   Epoch: 0   Global Step: 10480   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:43,635-Speed 798.73 samples/sec   Loss 25.2515   LearningRate 0.020000   Epoch: 0   Global Step: 10490   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:45,286-Speed 775.26 samples/sec   Loss 25.6699   LearningRate 0.020000   Epoch: 0   Global Step: 10500   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:46,890-Speed 798.37 samples/sec   Loss 25.1665   LearningRate 0.020000   Epoch: 0   Global Step: 10510   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:48,493-Speed 798.52 samples/sec   Loss 25.3111   LearningRate 0.020000   Epoch: 0   Global Step: 10520   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:50,097-Speed 798.40 samples/sec   Loss 25.0439   LearningRate 0.020000   Epoch: 0   Global Step: 10530   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:51,695-Speed 801.26 samples/sec   Loss 25.2152   LearningRate 0.020000   Epoch: 0   Global Step: 10540   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:53,300-Speed 797.85 samples/sec   Loss 24.9512   LearningRate 0.020000   Epoch: 0   Global Step: 10550   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:54,903-Speed 798.56 samples/sec   Loss 24.7457   LearningRate 0.020000   Epoch: 0   Global Step: 10560   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:56,507-Speed 798.04 samples/sec   Loss 25.9913   LearningRate 0.020000   Epoch: 0   Global Step: 10570   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:58,113-Speed 797.85 samples/sec   Loss 24.5726   LearningRate 0.020000   Epoch: 0   Global Step: 10580   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:49:59,716-Speed 798.55 samples/sec   Loss 25.0966   LearningRate 0.020000   Epoch: 0   Global Step: 10590   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:01,320-Speed 798.16 samples/sec   Loss 25.2238   LearningRate 0.020000   Epoch: 0   Global Step: 10600   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:02,923-Speed 798.52 samples/sec   Loss 24.3756   LearningRate 0.020000   Epoch: 0   Global Step: 10610   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:04,528-Speed 798.21 samples/sec   Loss 25.1939   LearningRate 0.020000   Epoch: 0   Global Step: 10620   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:06,133-Speed 798.51 samples/sec   Loss 24.4126   LearningRate 0.020000   Epoch: 0   Global Step: 10630   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:07,731-Speed 801.14 samples/sec   Loss 24.7988   LearningRate 0.020000   Epoch: 0   Global Step: 10640   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:09,335-Speed 798.01 samples/sec   Loss 24.9419   LearningRate 0.020000   Epoch: 0   Global Step: 10650   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:10,940-Speed 797.69 samples/sec   Loss 24.6122   LearningRate 0.020000   Epoch: 0   Global Step: 10660   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:12,544-Speed 797.99 samples/sec   Loss 24.9047   LearningRate 0.020000   Epoch: 0   Global Step: 10670   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:14,149-Speed 798.12 samples/sec   Loss 24.4524   LearningRate 0.020000   Epoch: 0   Global Step: 10680   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:15,754-Speed 797.67 samples/sec   Loss 25.3281   LearningRate 0.020000   Epoch: 0   Global Step: 10690   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:17,360-Speed 796.94 samples/sec   Loss 24.2287   LearningRate 0.020000   Epoch: 0   Global Step: 10700   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:18,964-Speed 797.87 samples/sec   Loss 24.6872   LearningRate 0.020000   Epoch: 0   Global Step: 10710   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:20,569-Speed 797.60 samples/sec   Loss 25.4967   LearningRate 0.020000   Epoch: 0   Global Step: 10720   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:22,174-Speed 798.01 samples/sec   Loss 24.2846   LearningRate 0.020000   Epoch: 0   Global Step: 10730   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:23,821-Speed 777.36 samples/sec   Loss 24.4339   LearningRate 0.020000   Epoch: 0   Global Step: 10740   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:25,426-Speed 797.13 samples/sec   Loss 24.9955   LearningRate 0.020000   Epoch: 0   Global Step: 10750   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:27,030-Speed 798.18 samples/sec   Loss 25.1521   LearningRate 0.020000   Epoch: 0   Global Step: 10760   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:28,634-Speed 798.66 samples/sec   Loss 24.4719   LearningRate 0.020000   Epoch: 0   Global Step: 10770   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:30,237-Speed 798.21 samples/sec   Loss 24.2550   LearningRate 0.020000   Epoch: 0   Global Step: 10780   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:31,840-Speed 798.49 samples/sec   Loss 25.2538   LearningRate 0.020000   Epoch: 0   Global Step: 10790   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:33,444-Speed 798.02 samples/sec   Loss 24.3627   LearningRate 0.020000   Epoch: 0   Global Step: 10800   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:35,049-Speed 797.78 samples/sec   Loss 24.8210   LearningRate 0.020000   Epoch: 0   Global Step: 10810   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:36,654-Speed 798.04 samples/sec   Loss 24.8201   LearningRate 0.020000   Epoch: 0   Global Step: 10820   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:38,259-Speed 797.41 samples/sec   Loss 25.0560   LearningRate 0.020000   Epoch: 0   Global Step: 10830   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:39,864-Speed 797.91 samples/sec   Loss 24.9609   LearningRate 0.020000   Epoch: 0   Global Step: 10840   Fp16 Grad Scale: 524288   Required: 9 hours
Training: 2023-12-28 00:50:41,460-Speed 801.91 samples/sec   Loss 24.4540   LearningRate 0.020000   Epoch: 0   Global Step: 10850   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:43,064-Speed 798.43 samples/sec   Loss 24.8789   LearningRate 0.020000   Epoch: 0   Global Step: 10860   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:44,668-Speed 798.35 samples/sec   Loss 24.7443   LearningRate 0.020000   Epoch: 0   Global Step: 10870   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:46,272-Speed 798.25 samples/sec   Loss 24.2053   LearningRate 0.020000   Epoch: 0   Global Step: 10880   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:50:47,863-Speed 804.41 samples/sec   Loss 24.3755   LearningRate 0.020000   Epoch: 0   Global Step: 10890   Fp16 Grad Scale: 65536   Required: 9 hours
Training: 2023-12-28 00:50:49,467-Speed 798.27 samples/sec   Loss 25.3368   LearningRate 0.020000   Epoch: 0   Global Step: 10900   Fp16 Grad Scale: 65536   Required: 9 hours
Training: 2023-12-28 00:50:51,070-Speed 798.23 samples/sec   Loss 24.8274   LearningRate 0.020000   Epoch: 0   Global Step: 10910   Fp16 Grad Scale: 65536   Required: 9 hours
Training: 2023-12-28 00:50:52,673-Speed 798.45 samples/sec   Loss 24.5971   LearningRate 0.020000   Epoch: 0   Global Step: 10920   Fp16 Grad Scale: 65536   Required: 9 hours
Training: 2023-12-28 00:50:54,278-Speed 798.12 samples/sec   Loss 24.4671   LearningRate 0.020000   Epoch: 0   Global Step: 10930   Fp16 Grad Scale: 65536   Required: 9 hours
Training: 2023-12-28 00:50:55,881-Speed 798.39 samples/sec   Loss 24.1530   LearningRate 0.020000   Epoch: 0   Global Step: 10940   Fp16 Grad Scale: 65536   Required: 9 hours
Training: 2023-12-28 00:50:57,485-Speed 798.15 samples/sec   Loss 24.4444   LearningRate 0.020000   Epoch: 0   Global Step: 10950   Fp16 Grad Scale: 65536   Required: 9 hours
Training: 2023-12-28 00:50:59,089-Speed 798.53 samples/sec   Loss 23.9971   LearningRate 0.020000   Epoch: 0   Global Step: 10960   Fp16 Grad Scale: 65536   Required: 9 hours
Training: 2023-12-28 00:51:00,693-Speed 798.79 samples/sec   Loss 24.8892   LearningRate 0.020000   Epoch: 0   Global Step: 10970   Fp16 Grad Scale: 65536   Required: 9 hours
Training: 2023-12-28 00:51:02,298-Speed 797.37 samples/sec   Loss 24.3417   LearningRate 0.020000   Epoch: 0   Global Step: 10980   Fp16 Grad Scale: 65536   Required: 9 hours
Training: 2023-12-28 00:51:03,900-Speed 798.90 samples/sec   Loss 24.3853   LearningRate 0.020000   Epoch: 0   Global Step: 10990   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:51:05,504-Speed 798.70 samples/sec   Loss 24.5011   LearningRate 0.020000   Epoch: 0   Global Step: 11000   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:51:07,106-Speed 798.66 samples/sec   Loss 24.3144   LearningRate 0.020000   Epoch: 0   Global Step: 11010   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:51:08,712-Speed 797.64 samples/sec   Loss 24.1029   LearningRate 0.020000   Epoch: 0   Global Step: 11020   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:51:10,317-Speed 798.31 samples/sec   Loss 24.6033   LearningRate 0.020000   Epoch: 0   Global Step: 11030   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:51:11,920-Speed 798.80 samples/sec   Loss 24.3929   LearningRate 0.020000   Epoch: 0   Global Step: 11040   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:51:13,526-Speed 797.64 samples/sec   Loss 24.3620   LearningRate 0.020000   Epoch: 0   Global Step: 11050   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:51:15,131-Speed 797.80 samples/sec   Loss 24.4402   LearningRate 0.020000   Epoch: 0   Global Step: 11060   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:51:16,736-Speed 797.27 samples/sec   Loss 24.9716   LearningRate 0.020000   Epoch: 0   Global Step: 11070   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:51:18,339-Speed 798.37 samples/sec   Loss 24.2489   LearningRate 0.020000   Epoch: 0   Global Step: 11080   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:51:19,944-Speed 798.15 samples/sec   Loss 23.9521   LearningRate 0.020000   Epoch: 0   Global Step: 11090   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:51:21,549-Speed 797.44 samples/sec   Loss 24.2491   LearningRate 0.020000   Epoch: 0   Global Step: 11100   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:51:23,154-Speed 797.96 samples/sec   Loss 23.9795   LearningRate 0.020000   Epoch: 0   Global Step: 11110   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:51:24,757-Speed 798.38 samples/sec   Loss 23.5574   LearningRate 0.020000   Epoch: 0   Global Step: 11120   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:51:26,363-Speed 798.09 samples/sec   Loss 24.3853   LearningRate 0.020000   Epoch: 0   Global Step: 11130   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:51:27,967-Speed 798.24 samples/sec   Loss 24.3463   LearningRate 0.020000   Epoch: 0   Global Step: 11140   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:51:29,571-Speed 798.42 samples/sec   Loss 24.6130   LearningRate 0.020000   Epoch: 0   Global Step: 11150   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:51:31,175-Speed 798.25 samples/sec   Loss 24.2620   LearningRate 0.020000   Epoch: 0   Global Step: 11160   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:51:32,779-Speed 798.68 samples/sec   Loss 24.0388   LearningRate 0.020000   Epoch: 0   Global Step: 11170   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:51:34,382-Speed 798.51 samples/sec   Loss 24.6845   LearningRate 0.020000   Epoch: 0   Global Step: 11180   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:51:36,038-Speed 773.71 samples/sec   Loss 24.6153   LearningRate 0.020000   Epoch: 0   Global Step: 11190   Fp16 Grad Scale: 524288   Required: 9 hours
Training: 2023-12-28 00:51:37,637-Speed 800.87 samples/sec   Loss 24.5793   LearningRate 0.020000   Epoch: 0   Global Step: 11200   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:51:39,239-Speed 798.88 samples/sec   Loss 24.3809   LearningRate 0.020000   Epoch: 0   Global Step: 11210   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:51:40,843-Speed 798.62 samples/sec   Loss 24.4842   LearningRate 0.020000   Epoch: 0   Global Step: 11220   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:51:42,447-Speed 798.60 samples/sec   Loss 23.6440   LearningRate 0.020000   Epoch: 0   Global Step: 11230   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:51:44,052-Speed 798.01 samples/sec   Loss 24.1487   LearningRate 0.020000   Epoch: 0   Global Step: 11240   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:51:45,648-Speed 801.57 samples/sec   Loss 23.7267   LearningRate 0.020000   Epoch: 0   Global Step: 11250   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:51:47,253-Speed 798.37 samples/sec   Loss 24.2266   LearningRate 0.020000   Epoch: 0   Global Step: 11260   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:51:48,856-Speed 798.32 samples/sec   Loss 24.0604   LearningRate 0.020000   Epoch: 0   Global Step: 11270   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:51:50,460-Speed 798.38 samples/sec   Loss 23.9413   LearningRate 0.020000   Epoch: 0   Global Step: 11280   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:51:52,063-Speed 798.57 samples/sec   Loss 23.6776   LearningRate 0.020000   Epoch: 0   Global Step: 11290   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:51:53,667-Speed 798.22 samples/sec   Loss 23.4658   LearningRate 0.020000   Epoch: 0   Global Step: 11300   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:51:55,270-Speed 798.31 samples/sec   Loss 24.1450   LearningRate 0.020000   Epoch: 0   Global Step: 11310   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:51:56,874-Speed 798.23 samples/sec   Loss 23.4063   LearningRate 0.020000   Epoch: 0   Global Step: 11320   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:51:58,478-Speed 798.08 samples/sec   Loss 24.0111   LearningRate 0.020000   Epoch: 0   Global Step: 11330   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:52:00,083-Speed 797.77 samples/sec   Loss 23.7347   LearningRate 0.020000   Epoch: 0   Global Step: 11340   Fp16 Grad Scale: 131072   Required: 9 hours
Training: 2023-12-28 00:52:01,686-Speed 798.30 samples/sec   Loss 23.4619   LearningRate 0.020000   Epoch: 0   Global Step: 11350   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:52:03,290-Speed 798.74 samples/sec   Loss 23.9286   LearningRate 0.020000   Epoch: 0   Global Step: 11360   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:52:04,893-Speed 798.92 samples/sec   Loss 24.6518   LearningRate 0.020000   Epoch: 0   Global Step: 11370   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:52:06,497-Speed 798.33 samples/sec   Loss 23.9603   LearningRate 0.020000   Epoch: 0   Global Step: 11380   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:52:08,100-Speed 798.51 samples/sec   Loss 24.2911   LearningRate 0.020000   Epoch: 0   Global Step: 11390   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:52:09,705-Speed 797.68 samples/sec   Loss 24.0285   LearningRate 0.020000   Epoch: 0   Global Step: 11400   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:52:11,310-Speed 797.65 samples/sec   Loss 23.5071   LearningRate 0.020000   Epoch: 0   Global Step: 11410   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:52:12,918-Speed 796.57 samples/sec   Loss 23.5006   LearningRate 0.020000   Epoch: 0   Global Step: 11420   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:52:14,564-Speed 777.98 samples/sec   Loss 23.6732   LearningRate 0.020000   Epoch: 0   Global Step: 11430   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:52:16,169-Speed 798.03 samples/sec   Loss 23.8228   LearningRate 0.020000   Epoch: 0   Global Step: 11440   Fp16 Grad Scale: 262144   Required: 9 hours
Training: 2023-12-28 00:52:17,767-Speed 800.92 samples/sec   Loss 23.5140   LearningRate 0.020000   Epoch: 0   Global Step: 11450   Fp16 Grad Scale: 262144   Required: 9 hours
